"cert","name","city","stalp","estymd","active","bkclass","repdte","timeperiod","asset","dep","netinc","roa","roe","eeffr","lnre","lnci","lncon","numemp","realgdp"
"1225",Farmers and Merchants Bank of Long Beach,Long Beach,CA,1907-11-20,false,SM,2022-03-31,"2022Q1",11673393,9359167.0,27835.0,0.9634966395523504,8.9,55.7273485124785,4828847.0,117166.0,144095.0,761,3162422.5
"1225",Farmers and Merchants Bank of Long Beach,Long Beach,CA,1907-11-20,false,SM,2022-06-30,"2022Q2",11731961,9461867.0,56924.0,0.9802197900596648,9.04,55.96007305245922,5160767.0,100512.0,127342.0,758,3146316.0
"1225",Farmers and Merchants Bank of Long Beach,Long Beach,CA,1907-11-20,false,SM,2022-09-30,"2022Q3",11937528,9350260.0,83557.0,0.9525765583063364,8.79,55.68802516694456,5754159.0,99552.0,132202.0,771,3145009.5
"1225",Farmers and Merchants Bank of Long Beach,Long Beach,CA,1907-11-20,false,SM,2022-12-31,"2022Q4",12054744,9142496.0,109002.0,0.9263224148608896,8.54,57.18874882350218,6070273.0,125087.0,151316.0,783,3135097.5
"1225",Farmers and Merchants Bank of Long Beach,Long Beach,CA,1907-11-20,false,SM,2023-03-31,"2023Q1",12021615,8969147.0,21624.0,0.7185139580282882,6.6,64.26877041736137,6118432.0,138780.0,161182.0,786,3152233.8
"1225",Farmers and Merchants Bank of Long Beach,Long Beach,CA,1907-11-20,false,SM,2023-06-30,"2023Q2",12268215,8894730.0,39772.0,0.6565821902328529,6.05,68.38359282783429,6077380.0,150204.0,164994.0,778,3191508.0
"1225",Farmers and Merchants Bank of Long Beach,Long Beach,CA,1907-11-20,false,SM,2023-09-30,"2023Q3",12464229,9055590.0,57159.0,0.6245602433642964,5.77,70.69312202008871,6312877.0,149161.0,172867.0,786,3223877.8
"1225",Farmers and Merchants Bank of Long Beach,Long Beach,CA,1907-11-20,false,SM,2023-12-31,"2023Q4",12035854,8670068.0,70007.0,0.5752929135585397,5.27,71.61318378662415,6258555.0,159359.0,181361.0,790,3248446.5
"1225",Farmers and Merchants Bank of Long Beach,Long Beach,CA,1907-11-20,false,SM,2024-03-31,"2024Q1",12191083,8597629.0,13002.0,0.4293402835034408,3.84,75.8924847455009,6086830.0,147881.0,189359.0,768,3277174.5
"1225",Farmers and Merchants Bank of Long Beach,Long Beach,CA,1907-11-20,false,SM,2024-06-30,"2024Q2",12193082,8813285.0,26536.0,0.4371661640264383,3.91,78.30201486994785,5992959.0,155433.0,194892.0,795,3287040.8
"1225",Farmers and Merchants Bank of Long Beach,Long Beach,CA,1907-11-20,false,SM,2024-09-30,"2024Q3",12017065,8771794.0,40882.0,0.4501342037848521,4.01,77.15851793848904,5951131.0,145969.0,185065.0,810,3321635.2
"1225",Farmers and Merchants Bank of Long Beach,Long Beach,CA,1907-11-20,false,SM,2024-12-31,"2024Q4",11690069,8769593.0,44878.0,0.3731924576571919,3.3,76.80150620293117,5879441.0,159682.0,194060.0,805,3341863.5
